viewBox,0 0 900 330
Key,Top Left X,Top Left Y,Width,Height
Key_1,411.91537238,10.953563743386244,64.40805399,18.7197068994709
Key_2,9.278211392,59.927135738095245,32.813787582,13.812306029100531
Key_3,79.21301582,59.9400610925926,29.602777380000003,13.952814095238097
Key_4,119.191403,59.9400610925926,29.602777380000003,13.952814095238097
Key_5,159.43094144,59.9400610925926,29.602777380000003,13.952814095238097
Key_6,199.40930858,59.9400610925926,29.602777380000003,13.952814095238097
Key_7,261.51812828000004,59.9400610925926,29.602777380000003,13.952814095238097
Key_8,301.49651545999996,59.9400610925926,29.602777380000003,13.952814095238097
Key_9,341.73604388,59.9400610925926,29.602777380000003,13.952814095238097
Key_10,381.71446112,59.9400610925926,29.602777380000003,13.952814095238097
Key_11,442.52819581999995,59.9400610925926,29.602777380000003,13.952814095238097
Key_12,482.50661306,59.9400610925926,29.602777380000003,13.952814095238097
Key_13,522.74614148,59.9400610925926,29.602777380000003,13.952814095238097
Key_14,562.7244986,59.9400610925926,29.602777380000003,13.952814095238097
Key_15,609.81134432,59.9400610925926,29.602777380000003,13.952814095238097
Key_16,650.0508426800001,59.9400610925926,29.602777380000003,13.952814095238097
Key_17,690.02925992,59.9400610925926,29.602777380000003,13.952814095238097
Key_18,740.6883057800001,61.280574388888894,18.791070126,12.596395526455026
Key_19,778.363115,61.28881398412699,20.608897524,12.579912092592593
Key_20,816.9530107400001,61.284200362433864,19.579715268,12.589148883597884
Key_21,853.32572096,61.28579481481482,19.930698834,12.585970587301588
Key_22,12.361658978,104.96114476190476,29.743481226,13.555841068783069
Key_23,52.616880722,104.96114476190476,29.743481226,13.555841068783069
Key_24,93.905373884,104.94356653439155,24.329909694,13.591006010582012
Key_25,132.48708128,104.94356653439155,24.329909694,13.591006010582012
Key_26,171.5698508,104.94356653439155,24.329909694,13.591006010582012
Key_27,210.1515602,104.94356653439155,24.329909694,13.591006010582012
Key_28,249.06119414,104.94356653439155,24.329909694,13.591006010582012
Key_29,289.74313562,104.94356653439155,24.329909694,13.591006010582012
Key_30,327.56973782,104.94356653439155,24.329909694,13.591006010582012
Key_31,366.5929685,104.94356653439155,24.329909694,13.591006010582012
Key_32,405.61617914,104.94356653439155,24.329909694,13.591006010582012
