frame_number,timestamp,R,G,B,matched_log_timestamp
331,2025-02-03-16-24-54-153,205,0,0,2025-02-03-16-24-54-150
332,2025-02-03-16-24-54-170,213,0,0,2025-02-03-16-24-54-168
333,2025-02-03-16-24-54-186,222,0,0,2025-02-03-16-24-54-184
334,2025-02-03-16-24-54-203,231,0,0,2025-02-03-16-24-54-205
335,2025-02-03-16-24-54-220,240,0,0,2025-02-03-16-24-54-218
336,2025-02-03-16-24-54-237,248,0,0,2025-02-03-16-24-54-236
337,2025-02-03-16-24-54-253,253,0,0,2025-02-03-16-24-54-252
338,2025-02-03-16-24-54-270,244,0,0,2025-02-03-16-24-54-270
339,2025-02-03-16-24-54-287,235,0,0,2025-02-03-16-24-54-287
340,2025-02-03-16-24-54-303,226,0,0,2025-02-03-16-24-54-304
341,2025-02-03-16-24-54-320,218,0,0,2025-02-03-16-24-54-321
342,2025-02-03-16-24-54-337,209,0,0,2025-02-03-16-24-54-339
343,2025-02-03-16-24-54-354,200,0,0,2025-02-03-16-24-54-356
344,2025-02-03-16-24-54-370,191,0,0,2025-02-03-16-24-54-373
345,2025-02-03-16-24-54-387,182,0,0,2025-02-03-16-24-54-391
346,2025-02-03-16-24-54-404,174,0,0,2025-02-03-16-24-54-409
347,2025-02-03-16-24-54-420,165,0,0,2025-02-03-16-24-54-427
348,2025-02-03-16-24-54-437,156,0,0,2025-02-03-16-24-54-443
349,2025-02-03-16-24-54-454,147,0,0,2025-02-03-16-24-54-460
350,2025-02-03-16-24-54-470,138,0,0,2025-02-03-16-24-54-478
351,2025-02-03-16-24-54-487,138,0,0,2025-02-03-16-24-54-478
352,2025-02-03-16-24-54-504,129,0,0,2025-02-03-16-24-54-496
353,2025-02-03-16-24-54-521,120,0,0,2025-02-03-16-24-54-512
354,2025-02-03-16-24-54-537,111,0,0,2025-02-03-16-24-54-531
355,2025-02-03-16-24-54-554,102,0,0,2025-02-03-16-24-54-549
356,2025-02-03-16-24-54-571,93,0,0,2025-02-03-16-24-54-566
357,2025-02-03-16-24-54-587,84,0,0,2025-02-03-16-24-54-585
358,2025-02-03-16-24-54-604,75,0,0,2025-02-03-16-24-54-602
359,2025-02-03-16-24-54-621,66,0,0,2025-02-03-16-24-54-619
360,2025-02-03-16-24-54-638,57,0,0,2025-02-03-16-24-54-637
361,2025-02-03-16-24-54-654,48,0,0,2025-02-03-16-24-54-654
362,2025-02-03-16-24-54-671,40,0,0,2025-02-03-16-24-54-671
363,2025-02-03-16-24-54-688,31,0,0,2025-02-03-16-24-54-689
364,2025-02-03-16-24-54-704,22,0,0,2025-02-03-16-24-54-706
365,2025-02-03-16-24-54-721,13,0,0,2025-02-03-16-24-54-723
366,2025-02-03-16-24-54-738,4,0,0,2025-02-03-16-24-54-741
367,2025-02-03-16-24-54-754,0,0,0,2025-02-03-16-24-54-760
368,2025-02-03-16-24-54-771,0,0,0,2025-02-03-16-24-54-777
369,2025-02-03-16-24-54-788,0,0,0,2025-02-03-16-24-54-795
370,2025-02-03-16-24-54-805,0,0,0,2025-02-03-16-24-54-813
371,2025-02-03-16-24-54-821,0,0,0,2025-02-03-16-24-54-813
372,2025-02-03-16-24-54-838,0,0,0,2025-02-03-16-24-54-830
373,2025-02-03-16-24-54-855,0,0,0,2025-02-03-16-24-54-848
374,2025-02-03-16-24-54-871,0,0,0,2025-02-03-16-24-54-867
375,2025-02-03-16-24-54-888,0,0,0,2025-02-03-16-24-54-883
376,2025-02-03-16-24-54-905,0,0,0,2025-02-03-16-24-54-901
377,2025-02-03-16-24-54-922,0,0,0,2025-02-03-16-24-54-918
378,2025-02-03-16-24-54-938,0,0,0,2025-02-03-16-24-54-936
379,2025-02-03-16-24-54-955,0,0,0,2025-02-03-16-24-54-952
380,2025-02-03-16-24-54-972,0,0,0,2025-02-03-16-24-54-973
381,2025-02-03-16-24-54-988,0,9,0,2025-02-03-16-24-54-989
382,2025-02-03-16-24-55-005,0,18,0,2025-02-03-16-24-55-006
383,2025-02-03-16-24-55-022,0,27,0,2025-02-03-16-24-55-025
384,2025-02-03-16-24-55-038,0,36,0,2025-02-03-16-24-55-041
385,2025-02-03-16-24-55-055,0,44,0,2025-02-03-16-24-55-058
386,2025-02-03-16-24-55-072,0,53,0,2025-02-03-16-24-55-075
387,2025-02-03-16-24-55-089,0,62,0,2025-02-03-16-24-55-092
388,2025-02-03-16-24-55-105,0,71,0,2025-02-03-16-24-55-111
389,2025-02-03-16-24-55-122,0,80,0,2025-02-03-16-24-55-129
390,2025-02-03-16-24-55-139,0,89,0,2025-02-03-16-24-55-147
391,2025-02-03-16-24-55-155,0,89,0,2025-02-03-16-24-55-147
392,2025-02-03-16-24-55-172,0,98,0,2025-02-03-16-24-55-164
393,2025-02-03-16-24-55-189,0,107,0,2025-02-03-16-24-55-181
394,2025-02-03-16-24-55-206,0,116,0,2025-02-03-16-24-55-199
395,2025-02-03-16-24-55-222,0,125,0,2025-02-03-16-24-55-215
396,2025-02-03-16-24-55-239,0,133,0,2025-02-03-16-24-55-232
397,2025-02-03-16-24-55-256,0,142,0,2025-02-03-16-24-55-249
