stage,RMSE,R2
raw-train,33.68027229091555,0.7947192347367089
raw-test,34.16000084151572,0.7857811549491917
ccm-train,25.685203014918145,0.880630212293983
ccm-test,26.138172984940862,0.8744925817858015
