model,stage,RMSE,R2
CCM,train,23.91238345882999,0.8965480422318115
CCM,test,24.169732887971506,0.8926638995566725
OLS,train,19.826935219162724,0.9288522380693754
OLS,test,20.322934811686242,0.9241131996150864
RF,train,7.069826868819558,0.9909500665544174
RF,test,19.204802913108743,0.9322426517144372
