timestamp,R,G,B,segment
2025-02-05-17-07-04-102,0,101,0,Triangle in green
2025-02-05-17-07-04-120,0,92,0,Triangle in green
2025-02-05-17-07-04-137,0,83,0,Triangle in green
2025-02-05-17-07-04-155,0,74,0,Triangle in green
2025-02-05-17-07-04-173,0,65,0,Triangle in green
2025-02-05-17-07-04-191,0,56,0,Triangle in green
2025-02-05-17-07-04-208,0,48,0,Triangle in green
2025-02-05-17-07-04-225,0,38,0,Triangle in green
2025-02-05-17-07-04-243,0,30,0,Triangle in green
2025-02-05-17-07-04-259,0,21,0,Triangle in green
2025-02-05-17-07-04-276,0,12,0,Triangle in green
2025-02-05-17-07-04-295,0,4,0,Triangle in green
2025-02-05-17-07-04-313,0,0,0,Pause
2025-02-05-17-07-04-329,0,0,0,Pause
2025-02-05-17-07-04-347,0,0,0,Pause
2025-02-05-17-07-04-365,0,0,0,Pause
2025-02-05-17-07-04-381,0,0,0,Pause
2025-02-05-17-07-04-399,0,0,0,Pause
2025-02-05-17-07-04-417,0,0,0,Pause
2025-02-05-17-07-04-434,0,0,0,Pause
2025-02-05-17-07-04-452,0,0,0,Pause
2025-02-05-17-07-04-469,0,0,0,Pause
2025-02-05-17-07-04-487,0,0,0,Pause
2025-02-05-17-07-04-505,0,0,0,Pause
2025-02-05-17-07-04-523,0,0,0,Triangle in blue
2025-02-05-17-07-04-540,0,0,9,Triangle in blue
2025-02-05-17-07-04-559,0,0,18,Triangle in blue
2025-02-05-17-07-04-576,0,0,27,Triangle in blue
2025-02-05-17-07-04-594,0,0,36,Triangle in blue
2025-02-05-17-07-04-610,0,0,44,Triangle in blue
2025-02-05-17-07-04-628,0,0,53,Triangle in blue
2025-02-05-17-07-04-646,0,0,62,Triangle in blue
2025-02-05-17-07-04-663,0,0,71,Triangle in blue
2025-02-05-17-07-04-681,0,0,80,Triangle in blue
2025-02-05-17-07-04-698,0,0,89,Triangle in blue
2025-02-05-17-07-04-716,0,0,98,Triangle in blue
2025-02-05-17-07-04-734,0,0,107,Triangle in blue
2025-02-05-17-07-04-751,0,0,116,Triangle in blue
2025-02-05-17-07-04-769,0,0,125,Triangle in blue
2025-02-05-17-07-04-787,0,0,134,Triangle in blue
2025-02-05-17-07-04-804,0,0,143,Triangle in blue
2025-02-05-17-07-04-821,0,0,152,Triangle in blue
2025-02-05-17-07-04-839,0,0,161,Triangle in blue
2025-02-05-17-07-04-857,0,0,170,Triangle in blue
2025-02-05-17-07-04-875,0,0,179,Triangle in blue
2025-02-05-17-07-04-892,0,0,188,Triangle in blue
2025-02-05-17-07-04-909,0,0,197,Triangle in blue
