Frame Index,Value,Change Type,State
0,31.0,,
1,31.0,,
2,31.0,,
3,31.0,,
4,31.0,,
5,31.0,,
6,31.0,,
7,31.0,,
8,31.0,,
9,31.0,,
10,33.0,,
11,35.0,,
12,38.0,,
13,38.0,,
14,38.0,,
15,38.0,,
16,40.0,,
17,40.0,,
18,38.0,,
19,38.0,,
20,38.0,,
21,38.0,,
22,38.0,,
23,38.0,,
24,38.0,,
25,38.0,,
26,35.0,,
27,35.0,,
28,35.0,,
29,35.0,,
30,35.0,,
31,33.0,,
32,33.0,,
33,33.0,,
34,33.0,,
35,33.0,,
36,33.0,,
37,33.0,,
38,33.0,,
39,33.0,,
40,33.0,,
41,33.0,,
42,31.0,,
43,31.0,,
44,31.0,,
45,31.0,,
46,28.0,,
47,28.0,,
48,28.0,,
49,28.0,,
50,28.0,,
51,28.0,,
52,28.0,,
53,28.0,,
54,28.0,,
55,31.0,,
56,31.0,,
57,31.0,,
58,31.0,,
59,31.0,,
60,31.0,,
61,31.0,,
62,31.0,,
63,31.0,,
64,31.0,,
65,31.0,,
66,31.0,,
67,31.0,,
68,31.0,,
69,31.0,,
70,31.0,,
71,31.0,,
72,28.0,,0
73,215.0,up,
74,253.0,,
75,253.0,,
76,248.0,,
77,248.0,,
78,210.0,down,0
79,26.0,,
80,26.0,,0
81,222.0,up,
82,243.0,,
83,234.0,,1
84,33.0,down,
85,31.0,,
86,191.0,up,
87,246.0,,
88,246.0,,
89,31.0,down,
90,28.0,,0
91,28.0,,
92,31.0,,
93,28.0,,0
94,229.0,up,
95,246.0,,
96,231.0,,
97,31.0,down,
98,28.0,,0
99,179.0,up,
100,248.0,,
101,248.0,,1
102,248.0,,
103,248.0,,
104,227.0,,1
105,28.0,down,
106,28.0,,0
107,21.0,,
108,21.0,,
109,80.0,up,1
110,248.0,,
111,250.0,,
112,250.0,,1
113,250.0,,
114,253.0,,1
115,253.0,,
116,250.0,,
117,250.0,,
118,246.0,,
119,246.0,,
120,246.0,,1
121,246.0,,
122,246.0,,1
123,248.0,,
124,248.0,,
125,210.0,down,0
126,24.0,,
127,26.0,,0
128,33.0,,
129,33.0,,
130,31.0,,0
131,26.0,,
132,24.0,,0
133,177.0,up,
134,246.0,,
135,248.0,,
136,61.0,down,
137,28.0,,
138,149.0,up,1
139,253.0,,
140,253.0,,1
141,144.0,down,
142,35.0,,
143,33.0,,0
144,26.0,,
145,26.0,,0
146,28.0,,
147,35.0,,
148,35.0,,0
149,203.0,up,
150,246.0,,
151,248.0,,1
152,248.0,,
153,248.0,,
154,248.0,,
155,250.0,,
156,250.0,,1
157,250.0,,
158,250.0,,
159,248.0,,1
160,250.0,,
161,250.0,,
162,208.0,down,0
163,24.0,,
164,24.0,,0
165,31.0,,
166,31.0,,
167,106.0,up,1
168,250.0,,
169,250.0,,1
170,248.0,,
171,250.0,,
172,250.0,,1
173,54.0,down,
174,31.0,,
175,33.0,,
176,33.0,,
177,31.0,,0
178,26.0,,
179,26.0,,
180,21.0,,0
181,21.0,,
182,24.0,,0
183,28.0,,
184,28.0,,
185,26.0,,0
186,250.0,up,
187,253.0,,1
188,253.0,,
189,253.0,,
190,255.0,,1
191,253.0,,
192,255.0,,
193,253.0,,
194,253.0,,
195,250.0,,1
196,248.0,,
197,246.0,,
198,246.0,,1
199,97.0,down,
200,28.0,,
201,31.0,,
202,38.0,,
203,40.0,,
204,35.0,,
205,28.0,,
206,28.0,,0
207,246.0,up,
208,246.0,,
209,246.0,,1
210,246.0,,
211,246.0,,1
212,246.0,,
213,248.0,,
214,250.0,,
215,250.0,,
216,248.0,,
217,220.0,down,0
218,24.0,,
219,24.0,,
220,224.0,up,
221,248.0,,
222,248.0,,
223,250.0,,
224,250.0,,1
225,250.0,,
226,253.0,,
227,250.0,,1
228,250.0,,
229,250.0,,1
230,250.0,,
231,250.0,,
232,250.0,,
233,248.0,,
234,246.0,,
235,248.0,,1
236,248.0,,
237,250.0,,
238,187.0,down,
239,35.0,,
240,33.0,,
241,238.0,up,
242,246.0,,
243,248.0,,
244,248.0,,1
245,144.0,down,
246,35.0,,
247,35.0,,0
248,35.0,,
249,35.0,,
250,165.0,up,
251,248.0,,
252,248.0,,1
253,109.0,down,
254,33.0,,
255,33.0,,0
256,19.0,,
257,21.0,,
258,201.0,up,
259,250.0,,
260,250.0,,
261,250.0,,
262,250.0,,1
263,189.0,down,
264,28.0,,
265,26.0,,0
266,236.0,up,
267,248.0,,
268,248.0,,1
269,243.0,,
270,246.0,,
271,248.0,,
272,248.0,,
273,248.0,,1
274,250.0,,
275,250.0,,
276,250.0,,
277,250.0,,
278,248.0,,1
279,83.0,down,
280,33.0,,
281,90.0,up,
282,246.0,,
283,248.0,,
284,250.0,,1
285,250.0,,
286,250.0,,1
287,250.0,,
288,250.0,,
289,250.0,,1
290,248.0,,
291,248.0,,
292,139.0,down,
293,31.0,,
294,31.0,,
295,24.0,,
296,26.0,,0
297,151.0,up,
298,248.0,,
299,250.0,,
300,250.0,,
301,250.0,,
302,250.0,,1
303,250.0,,
304,250.0,,1
305,250.0,,
306,250.0,,
307,250.0,,1
308,246.0,,
309,246.0,,
310,246.0,,
311,248.0,,
312,248.0,,
313,170.0,down,
314,26.0,,
315,26.0,,0
316,248.0,up,
317,253.0,,
318,236.0,,1
319,33.0,down,
320,33.0,,
321,210.0,up,
322,250.0,,
323,250.0,,1
324,28.0,down,
325,28.0,,
326,28.0,,0
327,28.0,,
328,28.0,,
329,220.0,up,
330,246.0,,
331,246.0,,
332,24.0,down,
333,26.0,,0
334,165.0,up,
335,250.0,,
336,250.0,,1
337,250.0,,
338,250.0,,
339,250.0,,
340,250.0,,
341,250.0,,1
342,250.0,,
343,250.0,,
344,250.0,,1
345,248.0,,
346,248.0,,
347,248.0,,1
348,248.0,,
349,246.0,,1
350,149.0,down,
351,26.0,,
352,28.0,,0
353,38.0,,
354,38.0,,
355,177.0,up,1
356,248.0,,
357,248.0,,1
358,87.0,down,
359,33.0,,
360,130.0,up,
361,250.0,,
362,250.0,,1
363,142.0,down,
364,33.0,,
365,33.0,,0
366,33.0,,
367,33.0,,
368,28.0,,
369,24.0,,
370,26.0,,0
371,229.0,up,
372,248.0,,
373,246.0,,1
374,248.0,,
375,248.0,,1
376,248.0,,
377,248.0,,
378,248.0,,
379,248.0,,
380,250.0,,
381,250.0,,1
382,250.0,,
383,248.0,,1
384,248.0,,
385,250.0,,
386,208.0,down,0
387,24.0,,
388,24.0,,0
389,203.0,up,
390,250.0,,
391,250.0,,1
392,45.0,down,
393,38.0,,0
394,35.0,,
395,31.0,,
396,31.0,,0
397,203.0,up,
398,246.0,,
399,248.0,,
400,248.0,,
401,250.0,,1
402,177.0,down,
403,35.0,,
404,35.0,,0
405,21.0,,
406,24.0,,
407,28.0,,
408,26.0,,
409,31.0,,
410,231.0,up,
411,250.0,,
412,234.0,,1
413,28.0,down,
414,28.0,,
415,26.0,,0
416,26.0,,
417,26.0,,0
418,250.0,up,
419,250.0,,
420,196.0,down,
421,26.0,,
422,26.0,,0
423,236.0,up,
424,248.0,,
425,224.0,,
426,21.0,down,
427,24.0,,
428,26.0,,
429,26.0,,
430,26.0,,
431,26.0,,
432,26.0,,
433,26.0,,
434,26.0,,
435,26.0,,
436,24.0,,
437,21.0,,
438,19.0,,
439,17.0,,
440,17.0,,
441,14.0,,
442,14.0,,
443,14.0,,
444,12.0,,
445,12.0,,
446,12.0,,
447,12.0,,
448,9.0,,
449,12.0,,
450,9.0,,
451,9.0,,
452,9.0,,
453,5.0,,
454,5.0,,
455,5.0,,
456,5.0,,
457,2.0,,
458,2.0,,
459,2.0,,
460,2.0,,
461,2.0,,
462,2.0,,
463,0.0,,
