Frame Index,Value,Change Type,State
0,34.0,,
1,19.0,,
2,21.0,,
3,21.0,,
4,30.0,,
5,30.0,,
6,28.0,,
7,30.0,,
8,30.0,,
9,30.0,,
10,28.0,,
11,28.0,,
12,28.0,,
13,30.0,,
14,28.0,,
15,28.0,,
16,28.0,,
17,32.0,,
18,30.0,,
19,30.0,,
20,30.0,,
21,32.0,,
22,30.0,,
23,30.0,,
24,30.0,,
25,30.0,,
26,30.0,,
27,32.0,,
28,30.0,,
29,30.0,,
30,30.0,,
31,30.0,,
32,30.0,,
33,30.0,,
34,30.0,,
35,32.0,,
36,30.0,,
37,32.0,,
38,30.0,,
39,32.0,,
40,30.0,,
41,32.0,,
42,30.0,,
43,32.0,,
44,30.0,,
45,32.0,,
46,30.0,,
47,32.0,,
48,30.0,,
49,30.0,,
50,30.0,,
51,32.0,,
52,30.0,,
53,32.0,,
54,30.0,,
55,32.0,,
56,30.0,,
57,32.0,,
58,32.0,,
59,32.0,,
60,32.0,,
61,34.0,,
62,34.0,,
63,36.0,,
64,36.0,,
65,36.0,,
66,34.0,,
67,34.0,,
68,32.0,,
69,34.0,,
70,34.0,,
71,34.0,,
72,32.0,,
73,32.0,,
74,32.0,,
75,32.0,,
76,32.0,,
77,34.0,,
78,34.0,,
79,34.0,,
80,30.0,,
81,34.0,,
82,34.0,,
83,34.0,,
84,34.0,,
85,34.0,,
86,34.0,,
87,34.0,,
88,32.0,,
89,34.0,,
90,34.0,,
91,34.0,,
92,30.0,,
93,32.0,,
94,32.0,,
95,34.0,,
96,32.0,,
97,156.0,up,
98,255.0,,
99,255.0,,
100,251.0,,
101,253.0,,
102,251.0,,
103,251.0,,
104,251.0,,
105,249.0,,
106,249.0,,
107,242.0,,
108,244.0,,
109,71.0,down,
110,21.0,,
111,24.0,,
112,21.0,,
113,21.0,,
114,17.0,,
115,15.0,,
116,15.0,,
117,15.0,,
118,13.0,,
119,15.0,,
120,15.0,,
121,11.0,,
122,11.0,,
123,13.0,,
124,13.0,,
125,13.0,,
126,13.0,,
127,13.0,,
128,13.0,,
129,15.0,,
130,15.0,,
131,15.0,,
132,15.0,,
133,154.0,up,
134,234.0,,
135,236.0,,
136,234.0,,
137,236.0,,
