Frame Index,Value,Change Type,State
0,104.0,,
1,103.0,,
2,103.0,,
3,103.0,,
4,103.0,,
5,105.0,,
6,104.0,,
7,104.0,,
8,127.0,up,
9,131.0,,
10,133.0,,
11,135.0,,
12,135.0,,
13,136.0,,
14,137.0,,
15,137.0,,
16,137.0,,
17,137.0,,
18,137.0,,
19,137.0,,
20,137.0,,
21,137.0,,
22,137.0,,
23,138.0,,
24,137.0,,
25,138.0,,
26,138.0,,
27,139.0,,
28,138.0,,
29,139.0,,
30,139.0,,
31,140.0,,
32,140.0,,
33,141.0,,
34,141.0,,
35,140.0,,
36,141.0,,
37,142.0,,
38,141.0,,
39,123.0,down,
40,122.0,,
41,120.0,,
42,120.0,,
43,119.0,,
44,118.0,,
45,118.0,,
46,115.0,,
47,116.0,,
48,116.0,,
49,117.0,,
50,117.0,,0
51,132.0,up,
52,135.0,,
53,134.0,,
54,135.0,,
55,135.0,,1
56,123.0,down,
57,122.0,,
58,118.0,,
59,118.0,,
60,117.0,,
61,119.0,,
62,119.0,,
63,119.0,,
64,117.0,,
65,116.0,,
66,116.0,,
67,116.0,,0
68,130.0,up,
69,131.0,,
70,132.0,,
71,133.0,,
72,134.0,,
73,134.0,,
74,134.0,,
75,135.0,,
76,135.0,,
77,136.0,,
78,136.0,,
79,137.0,,
80,137.0,,
81,138.0,,
82,138.0,,
83,138.0,,
84,138.0,,
85,140.0,,
86,139.0,,1
87,134.0,down,
88,126.0,,
89,124.0,,
90,123.0,,
91,122.0,,
92,121.0,,
93,120.0,,
94,119.0,,
95,120.0,,
96,117.0,,
97,116.0,,
98,115.0,,
99,116.0,,
100,130.0,up,
101,132.0,,
102,134.0,,
103,136.0,,
104,139.0,,
105,138.0,,
106,138.0,,
107,139.0,,
108,138.0,,
109,138.0,,
110,141.0,,
111,140.0,,
112,138.0,,
113,136.0,,
114,138.0,,
115,138.0,,
116,137.0,,
117,138.0,,
118,140.0,,
119,139.0,,
120,139.0,,
121,140.0,,
122,139.0,,
123,141.0,,
124,141.0,,
125,139.0,,
126,141.0,,
127,139.0,,
128,141.0,,
129,140.0,,
130,140.0,,
131,141.0,,
132,141.0,,
133,141.0,,
134,142.0,,
135,143.0,,
136,143.0,,
137,144.0,,
138,143.0,,
139,144.0,,
140,142.0,,
141,143.0,,
142,143.0,,
143,144.0,,
144,144.0,,
145,143.0,,
146,143.0,,
147,143.0,,
148,143.0,,
149,143.0,,
150,142.0,,
151,143.0,,
152,141.0,,
153,141.0,,
154,139.0,,
155,139.0,,
156,138.0,,
157,136.0,,
158,136.0,,
159,135.0,,
160,133.0,,
161,133.0,,
162,134.0,,
163,133.0,,
164,135.0,,
165,136.0,,
166,135.0,,
167,138.0,,
168,138.0,,
169,141.0,,
170,144.0,,
171,146.0,,
172,146.0,,
173,148.0,,
174,149.0,,
175,150.0,,
176,151.0,,
