Frame Index,Value,Change Type,State
0,32.0,,
1,30.0,,
2,30.0,,
3,30.0,,
4,28.0,,
5,28.0,,
6,30.0,,
7,28.0,,
8,28.0,,
9,28.0,,
10,25.0,,
11,18.0,,
12,19.0,,
13,21.0,,
14,25.0,,
15,25.0,,
16,25.0,,
17,25.0,,
18,23.0,,
19,25.0,,
20,23.0,,
21,23.0,,
22,23.0,,
23,23.0,,
24,23.0,,
25,23.0,,
26,23.0,,
27,23.0,,
28,23.0,,
29,21.0,,
30,23.0,,
31,23.0,,
32,23.0,,
33,21.0,,
34,23.0,,
35,21.0,,
36,23.0,,
37,21.0,,
38,21.0,,
39,21.0,,
40,21.0,,
41,19.0,,
42,19.0,,
43,19.0,,
44,19.0,,
45,18.0,,
46,18.0,,
47,18.0,,
48,18.0,,
49,18.0,,
50,18.0,,
51,18.0,,
52,18.0,,
53,18.0,,
54,18.0,,
55,18.0,,
56,19.0,,
57,19.0,,
58,18.0,,
59,19.0,,
60,21.0,,
61,19.0,,
62,19.0,,
63,19.0,,
64,21.0,,
65,19.0,,
66,19.0,,
67,19.0,,
68,19.0,,
69,19.0,,
70,77.0,up,
71,255.0,,
72,255.0,,1
73,167.0,down,
74,21.0,,
75,21.0,,
76,246.0,up,
77,250.0,,
78,230.0,,1
79,25.0,down,
80,25.0,,0
81,23.0,,
82,25.0,,
83,30.0,,0
84,248.0,up,
85,250.0,,
86,195.0,down,
87,19.0,,
88,19.0,,
89,18.0,,
90,18.0,,0
91,109.0,up,
92,253.0,,
93,250.0,,1
94,251.0,,
95,250.0,,
96,248.0,,
97,26.0,down,
98,25.0,,0
99,132.0,up,
100,246.0,,
101,246.0,,1
102,244.0,,
103,243.0,,
104,243.0,,1
105,241.0,,
106,244.0,,1
107,176.0,down,
108,12.0,,
109,12.0,,0
110,246.0,up,
111,248.0,,
112,244.0,,1
113,243.0,,
114,241.0,,1
115,244.0,,
116,244.0,,
117,237.0,,
118,19.0,down,
119,19.0,,
120,19.0,,0
121,18.0,,
122,18.0,,0
123,223.0,up,
124,241.0,,
125,225.0,,1
126,11.0,down,
127,11.0,,0
128,179.0,up,
129,244.0,,
130,246.0,,1
131,51.0,down,
132,19.0,,0
133,127.0,up,
134,244.0,,
135,244.0,,
136,244.0,,
137,244.0,,
138,243.0,,1
139,244.0,,
140,246.0,,1
141,246.0,,
142,246.0,,
143,243.0,,1
144,62.0,down,
145,9.0,,0
146,12.0,,
147,23.0,,
148,25.0,,0
149,164.0,up,
150,241.0,,
151,243.0,,1
152,244.0,,
153,244.0,,
154,215.0,down,
155,16.0,,
156,14.0,,0
157,183.0,up,
158,243.0,,
159,243.0,,1
160,244.0,,
161,243.0,,
162,229.0,,1
163,14.0,down,
164,14.0,,0
165,197.0,up,
166,241.0,,
167,243.0,,1
168,244.0,,
169,243.0,,1
170,243.0,,
171,243.0,,
172,243.0,,1
173,239.0,,
174,239.0,,
175,241.0,,
176,243.0,,
177,243.0,,1
178,246.0,,
179,244.0,,
180,244.0,,1
181,11.0,down,
182,11.0,,0
183,172.0,up,
184,241.0,,
185,243.0,,1
186,243.0,,
187,244.0,,1
188,243.0,,
189,243.0,,
190,243.0,,1
191,244.0,,
192,244.0,,
193,244.0,,
194,243.0,,
195,244.0,,1
196,244.0,,
197,243.0,,
198,243.0,,1
199,125.0,down,
200,18.0,,
201,56.0,up,
202,244.0,,
203,243.0,,
204,241.0,,
205,244.0,,
206,244.0,,1
207,243.0,,
208,243.0,,
209,243.0,,1
210,243.0,,
211,243.0,,1
212,244.0,,
213,244.0,,
214,244.0,,
215,244.0,,
216,241.0,,
217,236.0,,1
218,14.0,down,
219,14.0,,
220,186.0,up,
221,244.0,,
222,248.0,,
223,246.0,,
224,248.0,,1
225,248.0,,
226,244.0,,
227,243.0,,1
228,244.0,,
229,244.0,,1
230,243.0,,
231,243.0,,
232,241.0,,
233,241.0,,
234,239.0,,
235,241.0,,1
236,239.0,,
237,241.0,,
238,241.0,,
239,241.0,,
240,241.0,,
241,243.0,,
242,243.0,,
243,243.0,,
244,241.0,,1
245,239.0,,
246,241.0,,
247,243.0,,1
248,33.0,down,
249,21.0,,
250,111.0,up,
251,241.0,,
252,243.0,,1
253,246.0,,
254,244.0,,
255,243.0,,1
256,14.0,down,
257,14.0,,
258,171.0,up,
259,248.0,,
260,248.0,,
261,79.0,down,
262,19.0,,0
263,125.0,up,
264,244.0,,
265,243.0,,1
266,127.0,down,
267,18.0,,
268,35.0,,0
269,244.0,up,
270,243.0,,
271,244.0,,
272,243.0,,
273,243.0,,1
274,51.0,down,
275,18.0,,
276,114.0,up,
277,243.0,,
278,241.0,,1
279,244.0,,
280,244.0,,
281,243.0,,
282,244.0,,
283,244.0,,
284,243.0,,1
285,241.0,,
286,243.0,,1
287,241.0,,
288,239.0,,
289,232.0,,1
290,18.0,down,
291,18.0,,
292,181.0,up,
293,241.0,,
294,241.0,,
295,53.0,down,
296,19.0,,0
297,18.0,,
298,21.0,,
299,19.0,,
300,185.0,up,
301,243.0,,
302,243.0,,1
303,21.0,down,
304,21.0,,0
305,19.0,,
306,19.0,,
307,19.0,,0
308,21.0,,
309,19.0,,
310,28.0,,
311,241.0,up,
312,241.0,,
313,188.0,down,
314,14.0,,
315,12.0,,0
316,229.0,up,
317,246.0,,
318,250.0,,1
319,246.0,,
320,246.0,,
321,246.0,,
322,244.0,,
323,244.0,,1
324,241.0,,
325,241.0,,
326,243.0,,1
327,243.0,,
328,241.0,,
329,165.0,down,
330,25.0,,
331,21.0,,
332,12.0,,
333,12.0,,0
334,109.0,up,
335,246.0,,
336,244.0,,1
337,141.0,down,
338,26.0,,
339,26.0,,
340,239.0,up,
341,244.0,,1
342,213.0,down,
343,21.0,,
344,21.0,,0
345,215.0,up,
346,237.0,,
347,237.0,,1
348,19.0,down,
349,19.0,,0
350,14.0,,
351,11.0,,
352,11.0,,0
353,230.0,up,
354,246.0,,
355,243.0,,1
356,241.0,,
357,241.0,,1
358,120.0,down,
359,19.0,,
360,55.0,up,
361,244.0,,
362,243.0,,1
363,243.0,,
364,243.0,,
365,241.0,,1
366,246.0,,
367,244.0,,
368,211.0,down,
369,9.0,,
370,11.0,,0
371,200.0,up,
372,243.0,,
373,246.0,,1
374,244.0,,
375,246.0,,1
376,176.0,down,
377,19.0,,
378,18.0,,
379,18.0,,
380,18.0,,
381,128.0,up,1
382,244.0,,
383,243.0,,1
384,243.0,,
385,241.0,,
386,225.0,,1
387,7.0,down,
388,7.0,,0
389,151.0,up,
390,246.0,,
391,246.0,,1
392,246.0,,
393,246.0,,1
394,246.0,,
395,244.0,,
396,243.0,,1
397,174.0,down,
398,18.0,,
399,18.0,,
400,239.0,up,
401,243.0,,1
402,244.0,,
403,243.0,,
404,243.0,,1
405,86.0,down,
406,12.0,,
407,100.0,up,
408,244.0,,
409,244.0,,
410,144.0,down,
411,23.0,,
412,26.0,,0
413,243.0,up,
414,243.0,,
415,244.0,,1
416,244.0,,
417,246.0,,1
418,241.0,,
419,241.0,,
420,220.0,,
421,18.0,down,
422,18.0,,0
423,200.0,up,
424,239.0,,
425,232.0,,
426,5.0,down,
427,5.0,,
428,7.0,,
429,7.0,,
430,9.0,,
431,9.0,,
432,11.0,,
433,11.0,,
434,12.0,,
435,11.0,,
436,11.0,,
437,11.0,,
438,11.0,,
439,9.0,,
440,7.0,,
441,7.0,,
442,7.0,,
443,5.0,,
444,7.0,,
445,5.0,,
446,5.0,,
447,4.0,,
448,4.0,,
449,4.0,,
450,4.0,,
451,4.0,,
452,2.0,,
453,4.0,,
454,2.0,,
455,2.0,,
456,4.0,,
457,2.0,,
458,2.0,,
459,2.0,,
460,2.0,,
461,0.0,,
462,0.0,,
463,0.0,,
