Frame Index,Value,Change Type
448,7.0,
449,9.0,
450,193.0,up
451,192.0,
452,192.0,
453,190.0,
454,190.0,
455,181.0,
456,5.0,down
457,7.0,
458,9.0,
459,9.0,
460,9.0,
461,9.0,
462,9.0,
463,175.0,up
464,190.0,
465,190.0,
466,190.0,
467,190.0,
468,145.0,
469,9.0,down
470,9.0,
471,5.0,
472,9.0,
473,9.0,
474,9.0,
475,197.0,up
476,192.0,
477,192.0,
478,190.0,
479,190.0,
480,108.0,down
481,9.0,
482,9.0,
483,9.0,
484,9.0,
485,7.0,
486,7.0,
487,7.0,
488,7.0,
489,9.0,
490,9.0,
491,9.0,
492,183.0,up
493,190.0,
494,190.0,
495,190.0,
496,190.0,
497,190.0,
498,190.0,
499,130.0,down
500,7.0,
501,7.0,
502,9.0,
503,9.0,
504,89.0,up
505,193.0,
506,192.0,
507,192.0,
508,190.0,
509,190.0,
510,190.0,
511,142.0,
512,7.0,down
513,7.0,
514,7.0,
515,9.0,
516,14.0,
517,195.0,up
518,190.0,
519,190.0,
520,190.0,
521,190.0,
522,188.0,
523,149.0,
524,7.0,down
525,7.0,
526,7.0,
527,9.0,
528,9.0,
529,197.0,up
530,190.0,
531,190.0,
532,188.0,
533,190.0,
534,190.0,
535,163.0,
536,9.0,down
537,9.0,
538,7.0,
539,7.0,
540,7.0,
541,7.0,
542,7.0,
543,9.0,
544,9.0,
545,9.0,
546,9.0,
547,12.0,
548,197.0,up
549,193.0,
550,192.0,
551,192.0,
552,192.0,
553,72.0,down
554,9.0,
555,9.0,
556,7.0,
557,9.0,
558,9.0,
559,9.0,
560,188.0,up
561,193.0,
562,193.0,
563,193.0,
564,193.0,
565,123.0,down
566,9.0,
567,9.0,
568,7.0,
569,9.0,
570,9.0,
571,9.0,
572,181.0,up
573,193.0,
574,193.0,
575,193.0,
576,192.0,
577,140.0,down
578,9.0,
579,9.0,
580,9.0,
581,9.0,
582,9.0,
583,9.0,
584,168.0,up
585,192.0,
586,192.0,
587,192.0,
588,192.0,
589,151.0,
590,9.0,down
591,9.0,
592,7.0,
593,7.0,
594,7.0,
595,7.0,
596,7.0,
597,7.0,
598,7.0,
599,10.0,
600,10.0,
601,161.0,up
602,192.0,
603,192.0,
604,192.0,
605,192.0,
606,190.0,
607,190.0,
608,133.0,down
609,10.0,
610,9.0,
611,9.0,
612,9.0,
613,86.0,up
614,195.0,
615,192.0,
616,190.0,
617,190.0,
618,190.0,
619,190.0,
620,140.0,
621,7.0,down
622,7.0,
623,9.0,
624,9.0,
625,116.0,up
626,192.0,
627,192.0,
628,190.0,
629,190.0,
630,190.0,
631,190.0,
632,149.0,
633,9.0,down
634,7.0,
635,9.0,
636,10.0,
637,41.0,
638,195.0,up
639,190.0,
640,190.0,
641,190.0,
642,190.0,
643,188.0,
644,159.0,
645,7.0,down
646,7.0,
647,7.0,
648,7.0,
649,7.0,
650,7.0,
651,7.0,
652,9.0,
653,9.0,
654,9.0,
655,9.0,
656,92.0,up
657,190.0,
658,188.0,
659,190.0,
660,190.0,
661,188.0,
662,55.0,down
663,7.0,
664,9.0,
665,9.0,
666,9.0,
667,9.0,
668,106.0,up
669,192.0,
670,192.0,
671,192.0,
672,192.0,
673,192.0,
674,50.0,down
675,9.0,
676,9.0,
677,10.0,
678,9.0,
679,9.0,
680,9.0,
681,183.0,up
682,190.0,
683,192.0,
684,192.0,
685,192.0,
686,104.0,down
687,9.0,
688,9.0,
689,9.0,
690,9.0,
691,9.0,
692,9.0,
693,173.0,up
694,190.0,
695,192.0,
696,190.0,
697,190.0,
698,135.0,down
699,9.0,
700,9.0,
701,7.0,
702,7.0,
703,7.0,
704,7.0,
705,7.0,
706,7.0,
707,9.0,
708,9.0,
709,9.0,
710,168.0,up
711,190.0,
712,190.0,
713,190.0,
714,190.0,
715,190.0,
716,190.0,
717,152.0,
718,9.0,down
719,9.0,
720,9.0,
721,9.0,
722,9.0,
723,193.0,up
724,188.0,
725,190.0,
726,190.0,
727,190.0,
728,190.0,
729,130.0,down
730,9.0,
731,9.0,
732,9.0,
733,9.0,
734,98.0,up
735,190.0,
736,190.0,
737,190.0,
738,190.0,
739,190.0,
740,188.0,
741,137.0,
742,9.0,down
743,9.0,
744,9.0,
745,9.0,
746,123.0,up
747,190.0,
748,188.0,
749,188.0,
750,188.0,
751,190.0,
752,190.0,
753,190.0,
754,14.0,down
755,9.0,
756,7.0,
757,7.0,
758,7.0,
759,7.0,
760,7.0,
761,7.0,
762,7.0,
763,9.0,
764,10.0,
765,14.0,
766,197.0,up
767,192.0,
768,192.0,
769,192.0,
770,190.0,
771,77.0,down
772,9.0,
773,9.0,
774,9.0,
775,9.0,
776,9.0,
777,120.0,up
778,190.0,
779,190.0,
780,190.0,
781,190.0,
782,190.0,
783,48.0,down
784,7.0,
785,9.0,
786,9.0,
787,9.0,
788,7.0,
789,9.0,
790,183.0,up
791,190.0,
792,190.0,
793,192.0,
794,190.0,
795,132.0,down
796,9.0,
797,9.0,
798,9.0,
799,9.0,
800,9.0,
801,9.0,
802,195.0,up
803,192.0,
804,190.0,
805,192.0,
806,190.0,
807,89.0,down
808,9.0,
809,9.0,
810,9.0,
811,9.0,
812,7.0,
813,7.0,
814,7.0,
815,7.0,
816,9.0,
817,10.0,
818,9.0,
819,183.0,up
820,192.0,
821,192.0,
822,190.0,
823,190.0,
824,190.0,
825,190.0,
826,125.0,down
827,9.0,
828,9.0,
