Frame Index,Value,Change Type,State
0,246.0,,
1,246.0,,
2,246.0,,
3,246.0,,
4,249.0,,
5,249.0,,
6,249.0,,
7,249.0,,
8,249.0,,
9,249.0,,
10,249.0,,
11,249.0,,
12,249.0,,
13,249.0,,
14,246.0,,
15,249.0,,
16,246.0,,
17,249.0,,
18,246.0,,
19,246.0,,
20,246.0,,
21,246.0,,
22,246.0,,
23,246.0,,
24,246.0,,
25,246.0,,
26,242.0,,
27,246.0,,
28,242.0,,
29,246.0,,
30,242.0,,
31,246.0,,
32,242.0,,
33,246.0,,
34,246.0,,
35,246.0,,
36,246.0,,
37,246.0,,
38,246.0,,
39,246.0,,
40,246.0,,
41,246.0,,
42,246.0,,
43,249.0,,
44,246.0,,
45,246.0,,
46,242.0,,
47,246.0,,
48,242.0,,
49,242.0,,
50,242.0,,
51,242.0,,
52,239.0,,
53,246.0,,
54,242.0,,
55,242.0,,
56,242.0,,
57,246.0,,
58,242.0,,
59,246.0,,
60,242.0,,
61,246.0,,
62,246.0,,
63,246.0,,
64,242.0,,
65,242.0,,
66,242.0,,
67,242.0,,
68,242.0,,
69,246.0,,
70,242.0,,
71,246.0,,
72,246.0,,
73,246.0,,
74,246.0,,
75,246.0,,
76,246.0,,
77,246.0,,
78,246.0,,
79,249.0,,
80,246.0,,
81,246.0,,
82,246.0,,
83,249.0,,
84,249.0,,
85,249.0,,
86,246.0,,
87,246.0,,
88,249.0,,
89,249.0,,
90,246.0,,
91,246.0,,
92,57.0,,
93,19.0,,
94,19.0,,
95,16.0,,
96,16.0,,
97,22.0,,
98,19.0,,
99,22.0,,
100,22.0,,
101,22.0,,
102,66.0,up,
103,227.0,,
104,227.0,,
105,227.0,,
106,224.0,,
107,227.0,,
108,227.0,,
109,57.0,down,
110,35.0,,
111,35.0,,
112,35.0,,
113,31.0,,
114,13.0,,
115,3.0,,
116,3.0,,
117,3.0,,
118,3.0,,
119,6.0,,
120,6.0,,
121,13.0,,
122,16.0,,
123,16.0,,
124,19.0,,
125,19.0,,
126,25.0,,
127,38.0,,
128,38.0,,
129,38.0,,
130,38.0,,
131,38.0,,
132,38.0,,
133,151.0,up,
134,224.0,,
135,227.0,,
136,224.0,,
137,224.0,,
138,195.0,down,
139,38.0,,
140,38.0,,
141,38.0,,
142,38.0,,
143,41.0,,
144,41.0,,
145,41.0,,
146,54.0,,
147,54.0,,
148,54.0,,
149,54.0,,
150,54.0,,
151,227.0,up,
152,236.0,,
153,236.0,,
154,236.0,,
155,236.0,,
156,233.0,,
157,217.0,,
158,16.0,down,
159,16.0,,
160,16.0,,
161,19.0,,
162,16.0,,
163,50.0,up,
164,50.0,,
165,50.0,,
166,50.0,,1
167,50.0,,
168,50.0,,
169,47.0,,
170,13.0,down,
171,16.0,,
172,16.0,,0
173,16.0,,
174,13.0,,
175,217.0,up,
176,227.0,,
177,230.0,,
178,227.0,,1
179,230.0,,
180,230.0,,
181,230.0,,
182,57.0,down,
183,47.0,,
184,47.0,,0
185,47.0,,
186,47.0,,
187,50.0,,
188,50.0,,
189,50.0,,
190,50.0,,0
191,54.0,,
192,50.0,,
193,50.0,,
194,16.0,,
195,9.0,,
196,9.0,,0
197,13.0,,
198,9.0,,
199,9.0,,
200,13.0,,
201,16.0,,
202,13.0,,0
203,13.0,,
204,13.0,,
205,13.0,,
206,170.0,up,
207,227.0,,
208,230.0,,1
209,230.0,,
210,227.0,,
211,201.0,down,
212,6.0,,
213,9.0,,
214,9.0,,
215,9.0,,0
216,9.0,,
217,13.0,,
218,13.0,,
219,13.0,,
220,13.0,,0
221,13.0,,
222,13.0,,
223,85.0,up,
224,230.0,,
225,233.0,,
226,233.0,,
227,233.0,,1
228,233.0,,
229,233.0,,
230,224.0,,
231,16.0,down,
232,16.0,,
233,16.0,,
234,16.0,,
235,19.0,,
236,19.0,,
237,19.0,,
238,16.0,,0
239,16.0,,
240,16.0,,
241,16.0,,
242,16.0,,
243,16.0,,
244,16.0,,0
245,13.0,,
246,16.0,,
247,88.0,up,
248,249.0,,
249,249.0,,
250,246.0,,
251,249.0,,1
252,246.0,,
253,246.0,,
254,246.0,,
255,233.0,,
256,230.0,,
257,233.0,,1
258,233.0,,
259,233.0,,
260,116.0,down,
261,13.0,,
262,13.0,,0
263,13.0,,
264,13.0,,
265,13.0,,
266,85.0,up,
267,233.0,,
268,236.0,,1
269,236.0,,
270,236.0,,
271,236.0,,
272,41.0,down,
273,25.0,,
274,25.0,,
275,25.0,,0
276,22.0,,
277,22.0,,
278,22.0,,
279,44.0,,
280,47.0,,
281,44.0,,0
282,44.0,,
283,41.0,,
284,25.0,,
285,19.0,,
286,16.0,,
287,19.0,,0
288,19.0,,
289,19.0,,
290,16.0,,
291,230.0,up,
292,236.0,,
293,236.0,,1
294,233.0,,
295,233.0,,
296,239.0,,
297,242.0,,
298,242.0,,
299,246.0,,1
300,246.0,,
301,249.0,,
302,249.0,,
303,57.0,down,
304,16.0,,
305,19.0,,
306,16.0,,
307,16.0,,
308,170.0,up,
309,230.0,,
310,230.0,,
311,230.0,,1
312,227.0,,
313,230.0,,
314,227.0,,
315,110.0,down,
316,6.0,,
317,9.0,,0
318,6.0,,
319,9.0,,
320,25.0,,
321,47.0,,
322,47.0,,
323,47.0,,
324,44.0,,0
325,47.0,,
326,47.0,,
327,173.0,up,
328,233.0,,
329,233.0,,1
330,233.0,,
331,233.0,,
332,233.0,,
333,233.0,,
334,233.0,,
335,233.0,,
336,233.0,,1
337,233.0,,
338,230.0,,
339,154.0,down,
340,16.0,,
341,16.0,,0
342,16.0,,
343,16.0,,
344,13.0,,
345,16.0,,
346,16.0,,
347,16.0,,
348,16.0,,0
349,19.0,,
350,16.0,,
351,31.0,,
352,50.0,,
353,50.0,,0
354,50.0,,
355,50.0,,
356,47.0,,
357,19.0,,
358,16.0,,
359,19.0,,
360,16.0,,0
361,19.0,,
362,16.0,,
363,16.0,,
364,19.0,,
365,19.0,,
366,19.0,,0
367,19.0,,
368,19.0,,
369,44.0,,
370,47.0,,
371,47.0,,
372,47.0,,0
373,47.0,,
374,47.0,,
375,44.0,,
376,13.0,,
377,16.0,,
378,16.0,,
379,16.0,,
380,16.0,,
381,242.0,up,
382,249.0,,
383,249.0,,
384,249.0,,1
385,249.0,,
386,249.0,,
387,246.0,,
388,236.0,,
389,236.0,,
390,236.0,,1
391,236.0,,
392,233.0,,
393,236.0,,
394,236.0,,
395,236.0,,
396,230.0,,
397,230.0,,1
398,230.0,,
399,230.0,,
400,230.0,,
401,246.0,,
402,246.0,,
403,249.0,,1
404,249.0,,
405,249.0,,
406,148.0,down,
407,41.0,,
408,41.0,,0
409,41.0,,
410,41.0,,
411,31.0,,
412,16.0,,
413,16.0,,0
414,13.0,,
415,13.0,,
416,47.0,up,
417,236.0,,
418,236.0,,
419,239.0,,
420,236.0,,
421,239.0,,1
422,239.0,,
423,236.0,,
424,233.0,,
425,233.0,,
426,230.0,,1
427,233.0,,
428,230.0,,
429,189.0,down,
430,16.0,,
431,19.0,,
432,13.0,,
433,16.0,,0
434,13.0,,
435,13.0,,
436,13.0,,
437,13.0,,
438,13.0,,0
439,9.0,,
440,9.0,,
441,98.0,up,
442,236.0,,
443,236.0,,
444,236.0,,
445,236.0,,1
446,233.0,,
447,230.0,,
448,208.0,,
449,16.0,down,
450,13.0,,
451,16.0,,
452,16.0,,
453,16.0,,
454,217.0,up,
455,227.0,,
456,227.0,,1
457,230.0,,
458,227.0,,
459,227.0,,
460,148.0,down,
461,19.0,,
462,19.0,,0
463,22.0,,
464,19.0,,
465,66.0,up,
466,246.0,,
467,246.0,,
468,246.0,,
469,246.0,,1
470,249.0,,
471,249.0,,
472,246.0,,
473,249.0,,
474,246.0,,
475,249.0,,1
476,246.0,,
477,246.0,,
478,63.0,down,
479,16.0,,
480,16.0,,
481,16.0,,0
482,16.0,,
483,16.0,,
484,22.0,,
485,41.0,,
486,41.0,,0
487,41.0,,
488,41.0,,
489,50.0,,
490,239.0,up,
491,239.0,,
492,236.0,,
493,236.0,,1
494,233.0,,
495,236.0,,
496,236.0,,
497,233.0,,
498,230.0,,
499,233.0,,1
500,230.0,,
501,230.0,,
502,233.0,,
503,233.0,,
504,230.0,,1
505,233.0,,
506,230.0,,
507,230.0,,
508,230.0,,
509,41.0,down,
510,41.0,,
511,41.0,,0
512,41.0,,
513,41.0,,
514,47.0,,
515,47.0,,
516,47.0,,
517,47.0,,0
518,50.0,,
519,50.0,,
520,50.0,,
521,22.0,,
522,16.0,,
523,16.0,,
524,16.0,,
525,16.0,,
526,170.0,up,
527,249.0,,
528,246.0,,
529,246.0,,
530,246.0,,1
531,249.0,,
532,246.0,,
533,151.0,down,
534,47.0,,
535,47.0,,0
536,47.0,,
537,47.0,,
538,47.0,,
539,47.0,,
540,47.0,,
541,50.0,,
542,50.0,,0
543,50.0,,
544,50.0,,
545,173.0,up,
546,249.0,,
547,252.0,,1
548,249.0,,
549,246.0,,
550,239.0,,
551,227.0,,
552,227.0,,
553,230.0,,
554,230.0,,1
555,233.0,,
556,233.0,,
557,208.0,,
558,19.0,down,
559,19.0,,0
560,22.0,,
561,22.0,,
562,22.0,,
563,41.0,,
564,38.0,,
565,41.0,,
566,38.0,,0
567,38.0,,
568,38.0,,
569,35.0,,
570,6.0,,
571,6.0,,
572,6.0,,0
573,6.0,,
574,6.0,,
575,41.0,up,
576,47.0,,
577,47.0,,1
578,47.0,,
579,50.0,,
580,50.0,,
581,47.0,,
582,38.0,,
583,41.0,,1
584,41.0,,
585,41.0,,
586,38.0,,
587,19.0,,
588,19.0,,
589,22.0,,
590,19.0,,1
591,19.0,,
592,19.0,,
593,19.0,,
594,16.0,,
595,16.0,,
596,16.0,,
597,19.0,,
598,19.0,,
599,198.0,,
600,249.0,,
601,249.0,,
602,249.0,,0
603,249.0,,
604,249.0,,
605,252.0,,
606,236.0,,
607,233.0,,
608,230.0,,0
609,230.0,,
610,230.0,,
611,233.0,,
612,233.0,,
613,233.0,,
614,233.0,,0
615,236.0,,
616,236.0,,
617,236.0,,
618,246.0,,
619,249.0,,
620,249.0,,0
621,249.0,,
622,249.0,,
623,208.0,down,
624,41.0,,
625,44.0,,0
626,44.0,,
627,41.0,,
628,44.0,,
629,41.0,,
630,208.0,up,
631,227.0,,
632,230.0,,1
633,230.0,,
634,227.0,,
635,142.0,down,
636,13.0,,
637,13.0,,
638,13.0,,
639,13.0,,0
640,9.0,,
641,9.0,,
642,154.0,up,
643,233.0,,
644,233.0,,1
645,230.0,,
646,230.0,,
647,217.0,,
648,6.0,down,
649,9.0,,
650,9.0,,
651,13.0,,0
652,9.0,,
653,9.0,,
654,85.0,up,
655,233.0,,
656,233.0,,
657,230.0,,1
658,230.0,,
659,230.0,,
660,38.0,down,
661,22.0,,0
662,22.0,,
663,22.0,,
664,22.0,,
665,19.0,,
666,16.0,,
667,16.0,,
668,16.0,,
669,16.0,,
670,16.0,,
671,35.0,,
672,239.0,up,
673,239.0,,
674,236.0,,
675,236.0,,1
676,236.0,,
677,239.0,,
678,236.0,,
679,249.0,,
680,249.0,,
681,252.0,,1
682,249.0,,
683,252.0,,
684,255.0,,
685,255.0,,
686,255.0,,
687,255.0,,1
688,252.0,,
689,255.0,,
690,252.0,,
691,236.0,,
692,230.0,,
693,233.0,,1
694,233.0,,
695,233.0,,
696,120.0,down,
697,22.0,,
698,19.0,,
699,22.0,,0
700,22.0,,
701,22.0,,
702,19.0,,
703,224.0,up,
704,233.0,,
705,239.0,,1
706,239.0,,
707,236.0,,
708,183.0,down,
709,19.0,,
710,19.0,,0
711,19.0,,
712,16.0,,
713,19.0,,
714,19.0,,
715,233.0,up,
716,233.0,,
717,233.0,,1
718,233.0,,
719,233.0,,
720,113.0,down,
721,28.0,,
722,28.0,,
723,28.0,,0
724,28.0,,
725,31.0,,
726,31.0,,
727,208.0,up,
728,252.0,,
729,255.0,,1
730,252.0,,
731,252.0,,
732,211.0,down,
733,60.0,,
734,60.0,,0
735,60.0,,
736,63.0,,
737,60.0,,
738,60.0,,
739,28.0,,
740,25.0,,
741,28.0,,
742,25.0,,
743,25.0,,
744,164.0,up,
745,236.0,,
746,236.0,,
747,236.0,,
748,236.0,,1
749,233.0,,
750,233.0,,
751,208.0,,
752,22.0,down,
753,25.0,,
754,25.0,,0
755,25.0,,
756,25.0,,
757,54.0,up,
758,60.0,,
759,60.0,,1
760,60.0,,
761,60.0,,
762,60.0,,
763,195.0,,
764,252.0,,
765,252.0,,1
766,252.0,,
767,249.0,,
768,246.0,,
769,230.0,,
770,230.0,,
771,233.0,,
772,230.0,,1
773,233.0,,
774,230.0,,
775,211.0,,
776,57.0,down,
777,57.0,,
778,57.0,,0
779,60.0,,
780,60.0,,
781,25.0,,
782,22.0,,
783,25.0,,
784,25.0,,0
785,25.0,,
786,25.0,,
