Frame Index,Value,Change Type,State
0,250.0,,
1,248.0,,
2,248.0,,
3,253.0,,
4,253.0,,
5,253.0,,
6,253.0,,
7,253.0,,
8,253.0,,
9,253.0,,
10,232.0,,
11,2.0,,
12,5.0,,
13,5.0,,
14,7.0,,
15,7.0,,
16,7.0,,
17,9.0,,
18,7.0,,
19,7.0,,
20,7.0,,
21,5.0,,
22,7.0,,
23,7.0,,
24,7.0,,
25,7.0,,
26,9.0,,
27,11.0,,
28,9.0,,
29,11.0,,
30,11.0,,
31,11.0,,
32,9.0,,
33,11.0,,
34,11.0,,
35,11.0,,
36,11.0,,
37,11.0,,
38,14.0,,
39,14.0,,
40,14.0,,
41,16.0,,
42,16.0,,
43,16.0,,
44,16.0,,
45,16.0,,
46,16.0,,
47,16.0,,
48,16.0,,
49,14.0,,
50,21.0,,
51,21.0,,
52,21.0,,
53,21.0,,
54,21.0,,
55,21.0,,
56,21.0,,
57,21.0,,
58,23.0,,
59,23.0,,
60,23.0,,
61,21.0,,
62,21.0,,
63,21.0,,
64,23.0,,
65,25.0,,
66,25.0,,
67,23.0,,
68,23.0,,
69,23.0,,
70,140.0,up,
71,255.0,,
72,255.0,,1
73,253.0,,
74,253.0,,
75,244.0,,
76,32.0,down,
77,32.0,,
78,154.0,up,1
79,248.0,,
80,248.0,,1
81,92.0,down,
82,25.0,,
83,99.0,up,1
84,253.0,,
85,253.0,,
86,161.0,down,
87,21.0,,
88,21.0,,
89,18.0,,
90,18.0,,0
91,23.0,,
92,30.0,,
93,28.0,,0
94,237.0,up,
95,253.0,,
96,237.0,,
97,32.0,down,
98,32.0,,0
99,184.0,up,
100,246.0,,
101,246.0,,1
102,85.0,down,
103,28.0,,
104,124.0,up,1
105,253.0,,
106,253.0,,1
107,129.0,down,
108,18.0,,
109,83.0,up,1
110,253.0,,
111,250.0,,
112,168.0,down,0
113,18.0,,
114,16.0,,0
115,239.0,up,
116,248.0,,
117,248.0,,
118,250.0,,
119,250.0,,
120,136.0,down,0
121,16.0,,
122,16.0,,0
123,255.0,up,
124,255.0,,
125,200.0,down,0
126,21.0,,
127,21.0,,0
128,223.0,up,
129,253.0,,
130,255.0,,1
131,253.0,,
132,253.0,,1
133,253.0,,
134,250.0,,
135,248.0,,
136,250.0,,
137,250.0,,
138,250.0,,1
139,250.0,,
140,250.0,,1
141,250.0,,
142,250.0,,
143,248.0,,1
144,18.0,down,
145,18.0,,0
146,122.0,up,
147,248.0,,
148,250.0,,1
149,140.0,down,
150,28.0,,
151,28.0,,0
152,253.0,up,
153,250.0,,
154,250.0,,
155,250.0,,
156,250.0,,1
157,250.0,,
158,250.0,,
159,248.0,,1
160,248.0,,
161,248.0,,
162,198.0,down,0
163,18.0,,
164,21.0,,0
165,225.0,up,
166,246.0,,
167,246.0,,1
168,250.0,,
169,250.0,,1
170,250.0,,
171,250.0,,
172,250.0,,1
173,34.0,down,
174,25.0,,
175,133.0,up,
176,253.0,,
177,253.0,,1
178,119.0,down,
179,28.0,,
180,25.0,,0
181,18.0,,
182,18.0,,0
183,204.0,up,
184,241.0,,
185,241.0,,1
186,32.0,down,
187,30.0,,0
188,136.0,up,
189,248.0,,
190,248.0,,1
191,248.0,,
192,248.0,,
193,248.0,,
194,248.0,,
195,248.0,,1
196,250.0,,
197,248.0,,
198,248.0,,1
199,80.0,down,
200,25.0,,
201,23.0,,
202,23.0,,
203,23.0,,
204,214.0,up,
205,248.0,,
206,248.0,,1
207,30.0,down,
208,28.0,,
209,18.0,,0
210,16.0,,
211,16.0,,0
212,25.0,,
213,30.0,,
214,30.0,,
215,21.0,,
216,21.0,,
217,18.0,,0
218,25.0,,
219,25.0,,
220,223.0,up,
221,250.0,,
222,255.0,,
223,253.0,,
224,255.0,,1
225,253.0,,
226,253.0,,
227,250.0,,1
228,250.0,,
229,250.0,,1
230,250.0,,
231,246.0,,
232,248.0,,
233,248.0,,
234,250.0,,
235,244.0,,1
236,28.0,down,
237,28.0,,
238,172.0,up,
239,248.0,,
240,253.0,,
241,253.0,,
242,253.0,,
243,253.0,,
244,250.0,,1
245,133.0,down,
246,32.0,,
247,76.0,up,1
248,248.0,,
249,250.0,,
250,188.0,down,
251,21.0,,
252,18.0,,0
253,223.0,up,
254,246.0,,
255,225.0,,1
256,23.0,down,
257,23.0,,
258,214.0,up,
259,250.0,,
260,250.0,,
261,253.0,,
262,250.0,,1
263,250.0,,
264,250.0,,
265,248.0,,1
266,250.0,,
267,250.0,,
268,250.0,,1
269,246.0,,
270,246.0,,
271,248.0,,
272,253.0,,
273,250.0,,1
274,248.0,,
275,246.0,,
276,184.0,down,
277,28.0,,
278,28.0,,0
279,237.0,up,
280,250.0,,
281,248.0,,
282,248.0,,
283,250.0,,
284,248.0,,1
285,248.0,,
286,248.0,,1
287,34.0,down,
288,32.0,,
289,129.0,up,1
290,246.0,,
291,246.0,,
292,131.0,down,
293,28.0,,
294,25.0,,
295,21.0,,
296,21.0,,0
297,154.0,up,
298,250.0,,
299,253.0,,
300,253.0,,
301,246.0,,
302,230.0,,1
303,18.0,down,
304,18.0,,0
305,181.0,up,
306,244.0,,
307,244.0,,1
308,248.0,,
309,250.0,,
310,250.0,,
311,248.0,,
312,246.0,,
313,154.0,down,
314,23.0,,
315,23.0,,0
316,28.0,,
317,30.0,,
318,119.0,up,1
319,250.0,,
320,250.0,,
321,250.0,,
322,250.0,,
323,250.0,,1
324,246.0,,
325,246.0,,
326,202.0,down,0
327,16.0,,
328,16.0,,
329,214.0,up,
330,237.0,,
331,237.0,,
332,18.0,down,
333,21.0,,0
334,163.0,up,
335,244.0,,
336,248.0,,1
337,250.0,,
338,250.0,,
339,250.0,,
340,250.0,,
341,250.0,,1
342,250.0,,
343,250.0,,
344,250.0,,1
345,248.0,,
346,248.0,,
347,246.0,,1
348,246.0,,
349,248.0,,1
350,136.0,down,
351,18.0,,
352,21.0,,0
353,28.0,,
354,28.0,,
355,18.0,,0
356,18.0,,
357,18.0,,0
358,25.0,,
359,28.0,,
360,129.0,up,
361,250.0,,
362,253.0,,1
363,117.0,down,
364,18.0,,
365,21.0,,0
366,28.0,,
367,28.0,,
368,25.0,,
369,21.0,,
370,21.0,,0
371,225.0,up,
372,250.0,,
373,250.0,,1
374,250.0,,
375,248.0,,1
376,248.0,,
377,250.0,,
378,250.0,,
379,250.0,,
380,250.0,,
381,250.0,,1
382,250.0,,
383,250.0,,1
384,250.0,,
385,250.0,,
386,195.0,down,0
387,16.0,,
388,18.0,,0
389,202.0,up,
390,248.0,,
391,248.0,,1
392,30.0,down,
393,28.0,,0
394,124.0,up,
395,250.0,,
396,253.0,,1
397,136.0,down,
398,21.0,,
399,53.0,up,
400,250.0,,
401,250.0,,1
402,248.0,,
403,250.0,,
404,250.0,,1
405,18.0,down,
406,21.0,,
407,161.0,up,
408,250.0,,
409,250.0,,
410,94.0,down,
411,18.0,,
412,90.0,up,1
413,253.0,,
414,253.0,,
415,159.0,down,0
416,25.0,,
417,25.0,,0
418,241.0,up,
419,241.0,,
420,250.0,,
421,250.0,,
422,250.0,,1
423,250.0,,
424,250.0,,
425,216.0,down,
426,16.0,,
427,16.0,,
428,16.0,,
429,16.0,,
430,16.0,,
431,16.0,,
432,16.0,,
433,16.0,,
434,16.0,,
435,16.0,,
436,16.0,,
437,14.0,,
438,16.0,,
439,14.0,,
440,14.0,,
441,11.0,,
442,11.0,,
443,9.0,,
444,9.0,,
445,9.0,,
446,9.0,,
447,7.0,,
448,7.0,,
449,7.0,,
450,5.0,,
451,5.0,,
452,5.0,,
453,5.0,,
454,5.0,,
455,5.0,,
456,2.0,,
457,2.0,,
458,2.0,,
459,2.0,,
460,2.0,,
461,0.0,,
462,0.0,,
463,2.0,,
