Frame Index,Value,Change Type,State
0,27.0,,
1,29.0,,
2,29.0,,
3,29.0,,
4,27.0,,
5,27.0,,
6,27.0,,
7,27.0,,
8,25.0,,
9,24.0,,
10,24.0,,
11,24.0,,
12,24.0,,
13,22.0,,
14,24.0,,
15,24.0,,
16,27.0,,
17,27.0,,
18,27.0,,
19,29.0,,
20,29.0,,
21,30.0,,
22,25.0,,
23,27.0,,
24,25.0,,
25,25.0,,
26,25.0,,
27,25.0,,
28,24.0,,
29,24.0,,
30,20.0,,
31,20.0,,
32,20.0,,
33,20.0,,
34,20.0,,
35,20.0,,
36,22.0,,
37,20.0,,
38,20.0,,
39,22.0,,
40,24.0,,
41,20.0,,
42,22.0,,
43,22.0,,
44,20.0,,
45,19.0,,
46,19.0,,
47,20.0,,
48,20.0,,
49,19.0,,
50,19.0,,
51,17.0,,
52,19.0,,
53,19.0,,
54,19.0,,
55,19.0,,
56,20.0,,
57,20.0,,
58,22.0,,
59,19.0,,
60,20.0,,
61,19.0,,
62,20.0,,
63,20.0,,
64,20.0,,
65,20.0,,
66,20.0,,
67,20.0,,
68,20.0,,
69,20.0,,
70,17.0,,
71,19.0,,
72,17.0,,
73,108.0,up,
74,255.0,,
75,255.0,,
76,253.0,,
77,252.0,,1
78,252.0,,
79,252.0,,
80,250.0,,
81,193.0,down,
82,20.0,,
83,20.0,,0
84,20.0,,
85,20.0,,
86,20.0,,
87,20.0,,
88,20.0,,
89,20.0,,
90,20.0,,0
91,20.0,,
92,20.0,,
93,201.0,up,
94,250.0,,
95,247.0,,1
96,248.0,,
97,248.0,,
98,240.0,,
99,15.0,down,
100,19.0,,
101,19.0,,
102,17.0,,0
103,17.0,,
104,20.0,,
105,167.0,up,
106,247.0,,
107,247.0,,
108,248.0,,1
109,248.0,,
110,248.0,,
111,25.0,down,
112,27.0,,
113,27.0,,
114,27.0,,0
115,29.0,,
116,27.0,,
117,20.0,,
118,12.0,,
119,12.0,,
120,12.0,,0
121,12.0,,
122,10.0,,
123,10.0,,
124,10.0,,
125,10.0,,
126,8.0,,
127,12.0,,
128,12.0,,
