Frame Index,Value,Change Type,State
0,52.0,,
1,50.0,,
2,50.0,,
3,48.0,,
4,48.0,,
5,48.0,,
6,48.0,,
7,48.0,,
8,46.0,,
9,48.0,,
10,45.0,,
11,27.0,,
12,29.0,,
13,29.0,,
14,32.0,,
15,32.0,,
16,32.0,,
17,32.0,,
18,32.0,,
19,32.0,,
20,32.0,,
21,32.0,,
22,32.0,,
23,32.0,,
24,32.0,,
25,32.0,,
26,32.0,,
27,30.0,,
28,30.0,,
29,30.0,,
30,30.0,,
31,30.0,,
32,30.0,,
33,30.0,,
34,29.0,,
35,29.0,,
36,29.0,,
37,27.0,,
38,27.0,,
39,27.0,,
40,27.0,,
41,29.0,,
42,29.0,,
43,29.0,,
44,27.0,,
45,27.0,,
46,27.0,,
47,27.0,,
48,27.0,,
49,27.0,,
50,27.0,,
51,27.0,,
52,27.0,,
53,27.0,,
54,27.0,,
55,27.0,,
56,27.0,,
57,27.0,,
58,23.0,,
59,23.0,,
60,23.0,,
61,23.0,,
62,27.0,,
63,25.0,,
64,25.0,,
65,25.0,,
66,25.0,,
67,25.0,,
68,25.0,,
69,23.0,,
70,116.0,up,
71,255.0,,
72,251.0,,1
73,184.0,down,
74,34.0,,
75,34.0,,
76,248.0,up,
77,248.0,,
78,250.0,,1
79,250.0,,
80,250.0,,1
81,248.0,,
82,248.0,,
83,248.0,,1
84,41.0,down,
85,41.0,,
86,189.0,up,
87,246.0,,
88,248.0,,
89,86.0,down,
90,32.0,,0
91,144.0,up,
92,244.0,,
93,248.0,,1
94,248.0,,
95,250.0,,
96,251.0,,
97,36.0,down,
98,32.0,,0
99,178.0,up,
100,248.0,,
101,246.0,,1
102,246.0,,
103,246.0,,
104,244.0,,1
105,246.0,,
106,244.0,,1
107,187.0,down,
108,23.0,,
109,27.0,,0
110,246.0,up,
111,244.0,,
112,219.0,,1
113,37.0,down,
114,37.0,,0
115,226.0,up,
116,243.0,,
117,243.0,,
118,244.0,,
119,244.0,,
120,244.0,,1
121,246.0,,
122,244.0,,1
123,246.0,,
124,241.0,,
125,235.0,,1
126,14.0,down,
127,14.0,,0
128,219.0,up,
129,251.0,,
130,248.0,,1
131,250.0,,
132,246.0,,1
133,248.0,,
134,246.0,,
135,248.0,,
136,246.0,,
137,248.0,,
138,232.0,,1
139,34.0,down,
140,34.0,,0
141,203.0,up,
142,243.0,,
143,243.0,,1
144,70.0,down,
145,18.0,,0
146,96.0,up,
147,248.0,,
148,246.0,,1
149,244.0,,
150,246.0,,
151,246.0,,1
152,248.0,,
153,246.0,,
154,246.0,,
155,244.0,,
156,244.0,,1
157,243.0,,
158,243.0,,
159,243.0,,1
160,243.0,,
161,244.0,,
162,234.0,,1
163,9.0,down,
164,9.0,,0
165,219.0,up,
166,244.0,,
167,248.0,,1
168,246.0,,
169,244.0,,1
170,243.0,,
171,244.0,,
172,246.0,,1
173,107.0,down,
174,37.0,,
175,105.0,up,
176,244.0,,
177,246.0,,1
178,244.0,,
179,244.0,,
180,244.0,,1
181,11.0,down,
182,9.0,,0
183,200.0,up,
184,243.0,,
185,243.0,,1
186,246.0,,
187,246.0,,1
188,239.0,,
189,37.0,down,
190,37.0,,0
191,207.0,up,
192,244.0,,
193,246.0,,
194,244.0,,
195,244.0,,1
196,246.0,,
197,243.0,,
198,244.0,,1
199,137.0,down,
200,20.0,,
201,21.0,,
202,32.0,,
203,32.0,,
204,198.0,up,
205,244.0,,
206,244.0,,1
207,250.0,,
208,248.0,,
209,246.0,,1
210,246.0,,
211,246.0,,1
212,246.0,,
213,243.0,,
214,246.0,,
215,87.0,down,
216,43.0,,
217,34.0,,0
218,18.0,,
219,20.0,,
220,212.0,up,
221,246.0,,
222,246.0,,
223,244.0,,
224,244.0,,1
225,244.0,,
226,244.0,,
227,244.0,,1
228,244.0,,
229,244.0,,1
230,246.0,,
231,244.0,,
232,244.0,,
233,244.0,,
234,244.0,,
235,241.0,,1
236,244.0,,
237,244.0,,
238,248.0,,
239,244.0,,
240,246.0,,
241,132.0,down,
242,32.0,,
243,34.0,,
244,34.0,,0
245,207.0,up,
246,243.0,,
247,244.0,,1
248,29.0,down,
249,29.0,,
250,143.0,up,
251,243.0,,
252,246.0,,1
253,248.0,,
254,248.0,,
255,243.0,,1
256,9.0,down,
257,11.0,,
258,200.0,up,
259,244.0,,
260,244.0,,
261,243.0,,
262,244.0,,1
263,244.0,,
264,244.0,,
265,243.0,,1
266,243.0,,
267,244.0,,
268,243.0,,1
269,246.0,,
270,246.0,,
271,244.0,,
272,244.0,,
273,244.0,,1
274,244.0,,
275,243.0,,
276,246.0,,
277,244.0,,
278,244.0,,1
279,136.0,down,
280,34.0,,
281,48.0,,
282,243.0,up,
283,243.0,,
284,239.0,,1
285,244.0,,
286,244.0,,1
287,244.0,,
288,244.0,,
289,241.0,,1
290,30.0,down,
291,32.0,,
292,209.0,up,
293,243.0,,
294,246.0,,
295,45.0,down,
296,23.0,,0
297,119.0,up,
298,244.0,,
299,244.0,,
300,246.0,,
301,243.0,,
302,246.0,,1
303,243.0,,
304,244.0,,1
305,246.0,,
306,248.0,,
307,246.0,,1
308,244.0,,
309,244.0,,
310,246.0,,
311,244.0,,
312,243.0,,
313,205.0,down,
314,11.0,,
315,11.0,,0
316,232.0,up,
317,246.0,,
318,248.0,,1
319,244.0,,
320,246.0,,
321,187.0,down,
322,34.0,,
323,34.0,,0
324,243.0,up,
325,246.0,,
326,246.0,,1
327,244.0,,
328,244.0,,
329,177.0,down,
330,32.0,,
331,32.0,,
332,12.0,,
333,14.0,,0
334,144.0,up,
335,246.0,,
336,244.0,,1
337,246.0,,
338,246.0,,
339,246.0,,
340,243.0,,
341,243.0,,1
342,244.0,,
343,241.0,,
344,243.0,,1
345,243.0,,
346,246.0,,
347,243.0,,1
348,244.0,,
349,244.0,,1
350,196.0,down,
351,12.0,,
352,12.0,,0
353,29.0,,
354,30.0,,
355,166.0,up,1
356,244.0,,
357,244.0,,1
358,137.0,down,
359,30.0,,
360,91.0,up,
361,248.0,,
362,244.0,,1
363,182.0,down,
364,32.0,,
365,30.0,,0
366,21.0,,
367,23.0,,
368,21.0,,
369,14.0,,
370,16.0,,0
371,223.0,up,
372,241.0,,
373,243.0,,1
374,244.0,,
375,244.0,,1
376,246.0,,
377,244.0,,
378,246.0,,
379,246.0,,
380,246.0,,
381,246.0,,1
382,248.0,,
383,246.0,,1
384,244.0,,
385,244.0,,
386,234.0,,1
387,9.0,down,
388,11.0,,0
389,21.0,,
390,27.0,,
391,27.0,,0
392,244.0,up,
393,244.0,,1
394,248.0,,
395,246.0,,
396,246.0,,1
397,248.0,,
398,246.0,,
399,244.0,,
400,57.0,down,
401,36.0,,0
402,173.0,up,
403,244.0,,
404,246.0,,1
405,86.0,down,
406,16.0,,
407,18.0,,
408,20.0,,
409,20.0,,
410,223.0,up,
411,244.0,,
412,244.0,,1
413,29.0,down,
414,29.0,,
415,27.0,,0
416,23.0,,
417,23.0,,0
418,243.0,up,
419,243.0,,
420,244.0,,
421,243.0,,
422,241.0,,1
423,137.0,down,
424,32.0,,
425,21.0,,
426,9.0,,
427,11.0,,
428,11.0,,
429,12.0,,
430,12.0,,
431,12.0,,
432,12.0,,
433,12.0,,
434,14.0,,
435,14.0,,
436,14.0,,
437,12.0,,
438,11.0,,
439,9.0,,
440,9.0,,
441,7.0,,
442,7.0,,
443,5.0,,
444,5.0,,
445,5.0,,
446,5.0,,
447,4.0,,
448,4.0,,
449,4.0,,
450,4.0,,
451,4.0,,
452,4.0,,
453,4.0,,
454,5.0,,
455,4.0,,
456,4.0,,
457,4.0,,
458,2.0,,
459,2.0,,
460,0.0,,
461,0.0,,
462,2.0,,
463,2.0,,
