Frame Index,Value,Change Type,State
0,249.0,,
1,249.0,,
2,249.0,,
3,249.0,,
4,249.0,,
5,249.0,,
6,251.0,,
7,249.0,,
8,249.0,,
9,249.0,,
10,223.0,,
11,0.0,,
12,0.0,,
13,0.0,,
14,4.0,,
15,4.0,,
16,4.0,,
17,6.0,,
18,8.0,,
19,6.0,,
20,8.0,,
21,8.0,,
22,9.0,,
23,9.0,,
24,9.0,,
25,9.0,,
26,9.0,,
27,9.0,,
28,9.0,,
29,13.0,,
30,13.0,,
31,13.0,,
32,13.0,,
33,13.0,,
34,15.0,,
35,15.0,,
36,15.0,,
37,15.0,,
38,17.0,,
39,17.0,,
40,17.0,,
41,17.0,,
42,17.0,,
43,17.0,,
44,19.0,,
45,19.0,,
46,19.0,,
47,19.0,,
48,21.0,,
49,21.0,,
50,21.0,,
51,21.0,,
52,21.0,,
53,21.0,,
54,23.0,,
55,23.0,,
56,26.0,,
57,26.0,,
58,26.0,,
59,26.0,,
60,26.0,,
61,26.0,,
62,26.0,,
63,26.0,,
64,26.0,,
65,26.0,,
66,26.0,,
67,26.0,,
68,26.0,,
69,26.0,,
70,193.0,up,
71,253.0,,
72,255.0,,1
73,255.0,,
74,251.0,,
75,236.0,,
76,17.0,down,
77,17.0,,
78,210.0,up,1
79,251.0,,
80,253.0,,1
81,253.0,,
82,253.0,,
83,253.0,,1
84,253.0,,
85,253.0,,
86,149.0,down,
87,23.0,,
88,23.0,,
89,23.0,,
90,23.0,,0
91,25.0,,
92,26.0,,
93,23.0,,0
94,249.0,up,
95,249.0,,
96,249.0,,
97,253.0,,
98,255.0,,1
99,166.0,down,
100,21.0,,
101,19.0,,0
102,19.0,,
103,17.0,,
104,172.0,up,1
105,251.0,,
106,251.0,,1
107,117.0,down,
108,25.0,,
109,25.0,,0
110,21.0,,
111,19.0,,
112,227.0,up,1
113,249.0,,
114,249.0,,1
115,21.0,down,
116,21.0,,
117,174.0,up,
118,251.0,,
119,251.0,,
120,251.0,,1
121,251.0,,
122,251.0,,1
123,253.0,,
124,251.0,,
125,198.0,down,0
126,23.0,,
127,25.0,,0
128,251.0,up,
129,251.0,,
130,253.0,,1
131,253.0,,
132,253.0,,1
133,253.0,,
134,249.0,,
135,249.0,,
136,26.0,down,
137,25.0,,
138,195.0,up,1
139,253.0,,
140,251.0,,1
141,249.0,,
142,251.0,,
143,240.0,,1
144,25.0,down,
145,25.0,,0
146,181.0,up,
147,249.0,,
148,251.0,,1
149,251.0,,
150,251.0,,
151,251.0,,1
152,251.0,,
153,251.0,,
154,251.0,,
155,251.0,,
156,251.0,,1
157,249.0,,
