Frame Index,Value,Change Type,State
0,251.0,,
1,251.0,,
2,251.0,,
3,251.0,,
4,251.0,,
5,251.0,,
6,251.0,,
7,251.0,,
8,251.0,,
9,251.0,,
10,224.0,,
11,2.0,,
12,2.0,,
13,2.0,,
14,4.0,,
15,4.0,,
16,4.0,,
17,4.0,,
18,4.0,,
19,7.0,,
20,9.0,,
21,9.0,,
22,11.0,,
23,9.0,,
24,11.0,,
25,11.0,,
26,11.0,,
27,11.0,,
28,15.0,,
29,15.0,,
30,15.0,,
31,15.0,,
32,15.0,,
33,17.0,,
34,17.0,,
35,17.0,,
36,20.0,,
37,22.0,,
38,22.0,,
39,22.0,,
40,24.0,,
41,22.0,,
42,24.0,,
43,24.0,,
44,24.0,,
45,24.0,,
46,24.0,,
47,24.0,,
48,24.0,,
49,24.0,,
50,28.0,,
51,28.0,,
52,28.0,,
53,28.0,,
54,31.0,,
55,31.0,,
56,31.0,,
57,31.0,,
58,31.0,,
59,31.0,,
60,31.0,,
61,31.0,,
62,31.0,,
63,31.0,,
64,31.0,,
65,31.0,,
66,31.0,,
67,31.0,,
68,31.0,,
69,31.0,,
70,172.0,up,
71,251.0,,
72,253.0,,1
73,255.0,,
74,248.0,,
75,242.0,,
76,37.0,down,
77,37.0,,
78,183.0,up,1
79,248.0,,
80,248.0,,1
81,85.0,down,
82,26.0,,
83,131.0,up,1
84,253.0,,
85,253.0,,
86,251.0,,
87,253.0,,
88,246.0,,
89,24.0,down,
90,24.0,,0
91,190.0,up,
92,251.0,,
93,253.0,,1
94,98.0,down,
95,35.0,,
96,35.0,,
97,35.0,,
98,35.0,,0
99,201.0,up,
100,246.0,,
101,244.0,,1
102,246.0,,
103,246.0,,
104,227.0,,1
105,37.0,down,
106,35.0,,0
107,28.0,,
108,26.0,,
109,120.0,up,1
110,246.0,,
111,246.0,,
112,253.0,,1
113,251.0,,
114,251.0,,1
115,251.0,,
116,251.0,,
117,251.0,,
118,251.0,,
119,251.0,,
120,251.0,,1
121,253.0,,
122,253.0,,1
123,251.0,,
124,251.0,,
125,205.0,down,0
126,24.0,,
127,24.0,,0
128,246.0,up,
129,251.0,,
130,248.0,,1
131,39.0,down,
132,39.0,,0
133,203.0,up,
134,246.0,,
135,246.0,,
136,35.0,down,
137,37.0,,
138,170.0,up,1
139,248.0,,
140,251.0,,1
141,251.0,,
142,246.0,,
143,242.0,,1
144,22.0,down,
145,24.0,,0
146,155.0,up,
147,255.0,,
148,255.0,,1
